info_object_id:ID,:LABEL,label,source_table,file_hash,access_uri,landing_page
SOURCE_1851_V2T6,E73_Information_Object,1851_V2T6_CSD_202306.xlsx,V2T6,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1851_V1T3,E73_Information_Object,1851_V1T3_CSD_202306.xlsx,V1T3,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1851_V1T1,E73_Information_Object,1851_V1T1_CSD_202306.xlsx,V1T1,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1851_V2T7,E73_Information_Object,1851_V2T7_CSD_202306.xlsx,V2T7,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1861_V1T1,E73_Information_Object,1861_V1T1_CSD_202306.xlsx,V1T1,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1861_V1T5,E73_Information_Object,1861_V1T5_CSD_202306.xlsx,V1T5,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1861_V2T11,E73_Information_Object,1861_V2T11_CSD_202306.xlsx,V2T11,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1871_V1T1,E73_Information_Object,1871_V1T1_CSD_202306.xlsx,V1T1,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1871_V3T23,E73_Information_Object,1871_V3T23_CSD_202306.xlsx,V3T23,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1881_V1T1,E73_Information_Object,1881_V1T1_CSD_202306.xlsx,V1T1,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1881_V3T24,E73_Information_Object,1881_V3T24_CSD_202306.xlsx,V3T24,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1881_V3T27,E73_Information_Object,1881_V3T27_CSD_202306.xlsx,V3T27,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1891_V1T2,E73_Information_Object,1891_V1T2_CSD_202306.xlsx,V1T2,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1891_V4T3,E73_Information_Object,1891_V4T3_CSD_202306.xlsx,V4T3,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1891_V2T16,E73_Information_Object,1891_V2T16_CSD_202306.xlsx,V2T16,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1891_V1T3,E73_Information_Object,1891_V1T3_CSD_202306.xlsx,V1T3,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1891_V4T2,E73_Information_Object,1891_V4T2_CSD_202306.xlsx,V4T2,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1901_V1T7,E73_Information_Object,1901_V1T7_CSD_202306.xlsx,V1T7,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1911_V2T28,E73_Information_Object,1911_V2T28_CSD_202306.xlsx,V2T28,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1911_V2T7,E73_Information_Object,1911_V2T7_CSD_202306.xlsx,V2T7,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1911_V2T2,E73_Information_Object,1911_V2T2_CSD_202306.xlsx,V2T2,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1911_V1T2,E73_Information_Object,1911_V1T2_CSD_202306.xlsx,V1T2,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1911_V1T1,E73_Information_Object,1911_V1T1_CSD_202306.xlsx,V1T1,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1921_V1T27,E73_Information_Object,1921_V1T27_CSD_202306.xlsx,V1T27,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1921_V3T3,E73_Information_Object,1921_V3T3_CSD_202306.xlsx,V3T3,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1921_V1T38,E73_Information_Object,1921_V1T38_CSD_202306.xlsx,V1T38,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_1921_V1T16,E73_Information_Object,1921_V1T16_CSD_202306.xlsx,V1T16,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
